Country,Country Code,Lifeexpectancy,
Lesotho,LSO,48.836,A
Swaziland,SWZ,48.85063415,A
Central African Republic,CAF,49.10529268,A
Sierra Leone,SLE,49.74909756,A
Chad,TCD,50.78139024,A
Cote d'Ivoire,CIV,50.86334146,A
Angola,AGO,51.464,B
Nigeria,NGA,52.105,B
Zimbabwe,ZWE,53.64307317,B
Mozambique,MOZ,54.21212195,B
Guinea-Bissau,GNB,54.5035122,B
Cameroon,CMR,54.5875122,B
Somalia,SOM,54.6902439,B
South Sudan,SSD,54.727,B
Burundi,BDI,55.78929268,C
South Africa,ZAF,56.09831707,C
Equatorial Guinea,GNQ,56.89026829,C
Mali,MLI,57.095,C
Uganda,UGA,57.10019512,C
Guinea,GIN,57.63763415,C
Burkina Faso,BFA,57.87931707,C
Zambia,ZMB,58.36331707,C
Togo,TGO,58.55385366,C
Benin,BEN,59.12197561,C
Afghanistan,AFG,59.67960976,C
Gambia,GMB,59.77814634,C
Malawi,MWI,60.05029268,C
Niger,NER,60.07253659,C
Liberia,LBR,60.20436585,C
Kenya,KEN,60.27278049,C
Democratic Republic of Congo,COG,60.92390244,D
Ghana,GHA,60.97702439,D
Djibouti,DJI,61.29597561,D
Haiti,HTI,62.03339024,D
Papua New Guinea,PNG,62.29990244,D
Mauritania,MRT,62.56017073,D
Comoros,COM,62.58297561,D
Eritrea,ERI,62.64497561,D
Ethiopia,ETH,62.79353659,D
Rwanda,RWA,62.79936585,D
Sudan,SDN,62.83219512,D
Gabon,GAB,63.28073171,D
Yemen,YEM,63.32729268,D
Tanzania,TZA,63.52090244,D
Namibia,NAM,63.88114634,D
Botswana,BWA,64.22273171,D
Madagascar,MDG,64.24665854,D
Laos,LAO,65.2485122,E
Turkmenistan,TKM,65.31158537,E
Senegal,SEN,65.31887805,E
Myanmar,MMR,65.42778049,E
Kiribati,KIR,65.59607317,E
Pakistan,PAK,65.71687805,E
Sao Tome and Principe,STP,66.13390244,E
Guyana,GUY,66.21726829,E
Lower middle income,LMC,66.69771387,E
Timor-Leste,TMP,67.02058537,E
India,IND,67.28987805,E
Cambodia,KHM,67.32887805,E
South Asia,SAS,67.42935708,E
Bolivia,BOL,67.44546341,E
Solomon Islands,SLB,67.50658537,E
Philippines,PHL,68.00707317,E
Uzbekistan,UZB,68.104,E
Indonesia,IDN,68.51956098,E
Mongolia,MNG,68.6135122,E
Moldova,MDA,68.69341463,E
Bhutan,BTN,68.72290244,E
Nepal,NPL,68.82331707,E
"Micronesia, Fed. Sts.",FSM,68.85070732,E
Low & middle income,LMY,69.0589311,E
Tajikistan,TJK,69.16697561,E
Iraq,IRQ,69.24192683,E
South Korea,PRK,69.49419512,E
Pacific island small states,PSS,69.53548143,E
Kazakhstan,KAZ,69.61,E
Fiji,FJI,69.74321951,E
Belize,BLZ,69.90514634,E
Kyrgyz Republic,KGZ,70.00243902,F
Middle income,MIC,70.07233659,F
Trinidad and Tobago,TTO,70.15139024,F
Russian Federation,RUS,70.36585366,F
Arab World,ARB,70.42899084,F
Kosovo,KSV,70.49756098,F
Azerbaijan,AZE,70.62495122,F
"Egypt, Arab Rep.",EGY,70.72914634,F
Suriname,SUR,70.80631707,F
Bangladesh,BGD,70.86026829,F
Ukraine,UKR,70.94414634,F
World,WLD,70.98226959,F
Guatemala,GTM,71.24939024,F
Vanuatu,VUT,71.40817073,F
Libya,LBY,71.64956098,F
Caribbean small states,CSS,71.74355442,F
Belarus,BLR,71.96585366,F
Middle East & North Africa (developing only),MNA,72.14065674,F
Europe & Central Asia (developing only),ECA,72.20712626,F
El Salvador,SLV,72.23185366,F
Tonga,TON,72.488,F
Paraguay,PRY,72.654,F
St. Vincent and the Grenadines,VCT,72.67185366,F
Middle East & North Africa (all income levels),MEA,72.68814151,F
Honduras,HND,72.75502439,F
Cabo Verde,CPV,72.82821951,F
Samoa,WSM,72.98004878,F
Grenada,GRD,73.00226829,F
West Bank and Gaza,WBG,73.01787805,F
Dominican Republic,DOM,73.13531707,F
Jamaica,JAM,73.2824878,F
Morocco,MAR,73.36465854,F
East Asia & Pacific (developing only),EAP,73.50340561,F
Colombia,COL,73.63078049,F
High income: nonOECD,NOC,73.63490388,F
Jordan,JOR,73.74739024,F
Latvia,LVA,73.77804878,F
Brazil,BRA,73.83958537,F
Mauritius,MUS,73.86341463,F
Lithuania,LTU,73.86341463,F
"Venezuela, RB",VEN,73.92573171,F
Georgia,GEO,73.94487805,F
Tunisia,TUN,73.99512195,F
Saudi Arabia,SAU,74.01602439,F
Peru,PER,74.05765854,F
Sri Lanka,LKA,74.06804878,F
Thailand,THA,74.07190244,F
Upper middle income,UMC,74.12978456,F
Latin America & Caribbean (developing only),LAC,74.1467685,F
Nicaragua,NIC,74.21246341,F
Seychelles,SYC,74.22682927,F
