"Country","Year","All","Communicable","Noncommunicable","Injuries"
"Afghanistan"," 2012","1378.2","362.7","846.3","169.2"
"Afghanistan"," 2000","1660.5","574.8","905.5","180.2"
"Albania"," 2012","766.1","46.5","671.6","48.0"
"Albania"," 2000","986.5","75.4","840.0","71.1"
"Algeria"," 2012","862.0","97.8","710.4","53.8"
"Algeria"," 2000","935.8","130.7","737.5","67.6"
"Angola"," 2012","1779.4","873.3","768.4","137.8"
"Angola"," 2000","2147.1","1272.0","739.6","135.6"
"Argentina"," 2012","586.8","68.7","467.3","50.7"
"Argentina"," 2000","642.3","73.8","509.4","59.2"
"Armenia"," 2012","941.7","45.0","847.5","49.2"
"Armenia"," 2000","837.2","51.8","745.8","39.5"
"Australia"," 2012","344.7","13.7","302.9","28.2"
"Australia"," 2000","439.9","19.5","384.5","35.9"
"Austria"," 2012","402.7","12.6","359.5","30.6"
"Austria"," 2000","509.1","15.7","450.0","43.4"
"Azerbaijan"," 2012","768.8","70.8","664.3","33.6"
"Azerbaijan"," 2000","1027.4","142.2","844.3","41.0"
"Bahamas"," 2012","632.9","122.0","465.2","45.7"
"Bahamas"," 2000","744.7","209.1","476.1","59.4"
"Bahrain"," 2012","587.7","48.5","505.7","33.5"
"Bahrain"," 2000","722.4","48.5","631.7","42.2"
"Bangladesh"," 2012","847.5","234.6","548.9","64.0"
"Bangladesh"," 2000","1043.7","381.9","585.2","76.6"
"Barbados"," 2012","493.3","60.8","404.5","28.0"
"Barbados"," 2000","612.7","80.2","490.4","42.1"
"Belarus"," 2012","802.1","28.3","682.5","91.3"
"Belarus"," 2000","980.0","31.6","816.6","131.8"
"Belgium"," 2012","423.5","27.8","356.8","38.9"
"Belgium"," 2000","525.2","34.2","441.1","49.9"
"Belize"," 2012","657.2","104.6","470.7","82.0"
"Belize"," 2000","780.7","135.6","534.7","110.4"
"Benin"," 2012","1436.8","577.3","761.5","98.0"
"Benin"," 2000","1726.5","841.8","775.1","109.6"
"Bhutan"," 2012","901.9","186.9","572.8","142.2"
"Bhutan"," 2000","1294.1","418.1","652.0","224.0"
"Bolivia (Plurinational State of)"," 2012","961.5","226.2","635.3","100.0"
"Bolivia (Plurinational State of)"," 2000","1170.0","344.0","708.4","117.6"
"Bosnia and Herzegovina"," 2012","574.9","20.0","512.5","42.4"
"Bosnia and Herzegovina"," 2000","672.6","28.7","593.8","50.0"
"Botswana"," 2012","1255.3","555.3","612.2","87.9"
"Botswana"," 2000","2262.1","1607.6","559.9","94.5"
"Brazil"," 2012","686.8","92.8","513.8","80.2"
"Brazil"," 2000","816.6","121.1","617.0","78.4"
"Brunei Darussalam"," 2012","576.0","56.1","475.3","44.6"
"Brunei Darussalam"," 2000","591.2","59.4","484.1","47.6"
"Bulgaria"," 2012","708.1","33.4","638.2","36.4"
"Bulgaria"," 2000","866.1","50.5","764.0","51.6"
"Burkina Faso"," 2012","1551.5","648.2","784.0","119.3"
"Burkina Faso"," 2000","2007.0","1201.0","685.3","120.7"
"Burundi"," 2012","1580.9","704.8","729.5","146.6"
"Burundi"," 2000","2029.0","1135.2","681.9","212.0"
"Cote d'Ivoire"," 2012","1779.3","861.3","794.0","124.0"
"Cote d'Ivoire"," 2000","2078.5","1258.8","706.2","113.6"
"Cabo Verde"," 2012","678.4","141.9","482.1","54.4"
"Cabo Verde"," 2000","923.6","250.2","607.6","65.8"
"Cambodia"," 2012","683.7","227.5","394.0","62.2"
"Cambodia"," 2000","1107.2","544.2","472.3","90.6"
"Cameroon"," 2012","1550.0","768.8","675.2","106.0"
"Cameroon"," 2000","1799.8","1025.2","660.9","113.7"
"Canada"," 2012","372.0","22.6","318.0","31.3"
"Canada"," 2000","461.5","22.0","404.5","35.0"
"Central African Republic"," 2012","1870.9","1212.1","550.8","107.9"
"Central African Republic"," 2000","2311.7","1657.4","554.0","100.3"
"Chad"," 2012","1897.9","1070.9","712.6","114.5"
"Chad"," 2000","2199.3","1339.1","709.6","150.6"
"Chile"," 2012","444.0","36.3","366.5","41.2"
"Chile"," 2000","541.1","56.4","431.9","52.9"
"China"," 2012","668.2","41.4","576.3","50.4"
"China"," 2000","821.2","88.7","660.9","71.5"
"Colombia"," 2012","504.9","55.0","377.3","72.6"
"Colombia"," 2000","645.7","73.9","434.3","137.5"
"Comoros"," 2012","1322.5","494.6","695.5","132.4"
"Comoros"," 2000","1469.8","588.5","756.6","124.7"
"Congo"," 2012","1388.2","666.9","632.3","89.0"
"Congo"," 2000","1754.8","1025.1","627.3","102.4"
"Costa Rica"," 2012","468.8","30.5","391.8","46.5"
"Costa Rica"," 2000","528.4","40.7","434.0","53.6"
"Croatia"," 2012","548.1","12.2","495.8","40.1"
"Croatia"," 2000","710.3","28.9","629.4","52.0"
